"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-11-01,0,265,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-10-01,0,283,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-10-01,0,283,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-09-01,0,279,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-09-01,0,279,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-08-01,0,288,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-08-01,0,288,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-07-01,0,200,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-03-01,0,314,,Ford
"=""35037600130000""",Ford,1,"Krumme Oil Company Llp",OK,Creek,,,,2009-01-01,0,298,,Ford
"=""35081215890000""",Bond,13-1,"Palm Operating Llc",OK,Creek,,,,2009-05-01,0,163,,Bond
"=""35081215890000""",Bond,13-1,"Palm Operating Llc",OK,Creek,,,,2009-03-01,0,137,,Bond
"=""35081215890000""",Bond,13-1,"Palm Operating Llc",OK,Creek,,,,2009-01-01,0,179,,Bond
"=""35037287060000""",Shilo,1,"Weins Horton L",OK,Creek,,,,2009-06-01,0,674,,Shilo
"=""35037287060000""",Shilo,1,"Weins Horton L",OK,Creek,,,,2009-04-01,0,1012,,Shilo
"=""35037287060000""",Shilo,1,"Weins Horton L",OK,Creek,,,,2009-03-01,0,1169,,Shilo
"=""35037285490000""",Hutchings,1,"Withrow Oil Company Inc",OK,Creek,,,,2009-10-01,0,149,,Hutchings
"=""35037285490000""",Hutchings,1,"Withrow Oil Company Inc",OK,Creek,,,,2009-04-01,0,334,,Hutchings
"=""35037285490000""",Hutchings,1,"Withrow Oil Company Inc",OK,Creek,,,,2009-03-01,0,357,,Hutchings
"=""35037285580000""",Bryson,1-9,"Nordstrand Engineering Inc",OK,Creek,,,,2009-07-01,0,235,,Bryson
"=""35037286470000""",Scott,1,"Allen Michael",OK,Creek,,,,2009-07-01,0,280,,Scott
"=""35037286520000""",Chapman,1-34,"Little River Energy Company",OK,Creek,,,,2009-05-01,0,177,,Chapman
"=""35037286520000""",Chapman,1-34,"Little River Energy Company",OK,Creek,,,,2009-02-01,0,164,,Chapman
"=""35037286580000""",Newton,1-5,"Jec Operating Llc",OK,Creek,,,,2009-09-01,0,1172,,Newton
"=""35037286580000""",Newton,1-5,"Jec Operating Llc",OK,Creek,,,,2009-02-01,0,1938,,Newton
"=""35037285170000""","Lost Indian",7,"Eig Petroleum Llc",OK,Creek,,,,2009-11-01,0,130,,"Lost Indian"
"=""35037285170000""","Lost Indian",7,"Eig Petroleum Llc",OK,Creek,,,,2009-10-01,0,186,,"Lost Indian"
"=""35037285170000""","Lost Indian",7,"Eig Petroleum Llc",OK,Creek,,,,2009-09-01,0,238,,"Lost Indian"
"=""35037285170000""","Lost Indian",7,"Eig Petroleum Llc",OK,Creek,,,,2009-01-01,0,257,,"Lost Indian"
"=""35037284020000""","Iron Mountain",5,"Javelin Energy Llc",OK,Creek,,,,2009-09-01,0,269,,"Iron Mountain"
"=""35037284020000""","Iron Mountain",5,"Javelin Energy Llc",OK,Creek,,,,2009-04-01,0,0,,"Iron Mountain"
"=""35037284020000""","Iron Mountain",5,"Javelin Energy Llc",OK,Creek,,,,2009-02-01,0,0,,"Iron Mountain"
"=""35037003600000""",Lacey,1,"R & D Oil & Gas",OK,Creek,,,,2008-11-01,0,1547,,Lacey
"=""35037003600000""",Lacey,1,"R & D Oil & Gas",OK,Creek,,,,2008-07-01,0,790,,Lacey
"=""35037280650000""",Avatar,1,"Hoyt Oil & Gas Llc",OK,Creek,,,,2008-11-01,0,131,,Avatar
"=""35037280650000""",Avatar,1,"Hoyt Oil & Gas Llc",OK,Creek,,,,2008-06-01,0,204,,Avatar
"=""35037280650000""",Avatar,1,"Hoyt Oil & Gas Llc",OK,Creek,,,,2008-05-01,0,175,,Avatar
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2008-10-01,0,266,,Roka
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2008-09-01,0,318,,Roka
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2008-08-01,0,207,,Roka
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2008-07-01,0,216,,Roka
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2008-05-01,0,172,,Roka
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2008-12-01,0,28,,Allen
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2008-09-01,0,182,,Allen
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2008-06-01,0,397,,Allen
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2008-03-01,0,443,,Allen
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2008-12-01,0,85,,Williams
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2008-11-01,0,90,,Williams
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2008-06-01,0,329,,Williams
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2008-05-01,0,404,,Williams
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,,,,2008-06-01,0,29,,"Columbus Swampter"
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2008-12-01,0,652,,Cobb
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2008-11-01,0,636,,Cobb
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2008-09-01,0,668,,Cobb
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2008-03-01,0,651,,Cobb
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2008-11-01,0,157,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2008-06-01,0,164,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2008-01-01,0,92,,Gressett
